,commentIds,comments
2271,TTB-2010-0004-0092,"  i do not want this tax, or whatever you want to call it.  i think you are trying way to hard to control what i as a smoker or even a person which i also am, to tell me  what to do with my life and how i am going to live it.  in short you are fucking with my rights to live my life as i see fit, and not be charged extra for it."
2272,FDA-2012-D-0071-0107,Please put an end to the inhumane and cruel testing methods performed by the Tobacco Industry on animals. This is senseless since the results don't mean anything since animals tissue reacts differently to tobacco smoke than human tissue. this is cruel and seneseless.
2273,FDA-2009-N-0294-0509,NICE MEET YOUI want FDA DOCUMET
2274,FDA-2013-N-0521-0305,Comment from Missouri Wholesale Distributors Association
2275,FDA-2012-D-0071-1568,"This comment is to the Food and Drug Administration.  Animals do not develop the same diseases humans do when forced to inhale tobacco smoke.  Please, really - PLEASE - discard the misguided idea that more testing on animals will show how newer products have lower risks to humans.  It's a bad plan that will produce useless results.  Thank you for your time.  "
2276,FDA-2012-D-0071-0697,For killer cigarettes!!!! REALLY??? TORTURE ANIMALS for THAT???? STOP IT!!!
2277,FDA-2009-N-0294-0208,It's time for the FDA to implement the law in ways that pave the road for the U.S. to join the global tobacco treaty.
2278,FDA-2012-D-0071-0617,"No Animal Testing for Tobacco Products!!PLEASE, PLEASE, PLEASE remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing.  You wouldn't like it if this was done to you if you were forced to breath tobacco??  It makes no sense what so ever as to why innocent animals need to suffer for humans! I don't know about you or anyone else out there & how they feel about animals & what we humans are doing to them but I am sick & tired of reading, seeing & hearing what humans are doing & continue to do to innocent animals all over the world every second day after day after day after day.  How can a human be sooo callous and have that much evil inside them that they could/would cause so much pain to an innocent, helpless animal? What gives humans the right to abuse anything?  We humans are definitely NOT superior or better than anything else on this planet.  I can not iterate this enough that we were NOT put here to abuse, torture &/or kill ANYTHING & animals were NOT put here for us humans to do despicable & gruesome acts upon!   The pain & suffering we humans are causing animals is disgraceful, appalling, atrocious & barbaric & is totally unnecessary! It is astounding that humans are so unbelievably cruel and evil.There is this saying ... treat others like you would want to be treated.  Again, we humans were not born into this world to be evil (or nice), it is a CHOICE, a CONSCIOUS CHOICE!  All humans have a choice to help or to hurt.  I have to apologize but I am VERY passionate about animals & what humans are doing to them & I have no respect what so ever for anyone that harms animals.   I can't do a gosh darn thing but use my mouth & write about what’s happening to animals all over the world every single day; the abuse, pain & suffering animals are going through at the hands of humans … BUT YOU CAN, YOU HAVE THE POWER and I am reaching out to you, I am begging you for your help and support.  Please, please, pl"
2279,FDA-2009-N-0294-0404,"Dear Commissioner Hamburg, I'm writing to express my belief that FDA regulation of tobacco is a great step forward in protecting our kids, and future generations, from Big Tobacco. I look forward to your agency tackling this new responsibility with vigor.I am also writing to urge you to enforce the Family Smoking Prevention and Tobacco Control Act in a way that lays the groundwork for full, constructive U.S. participation in the World Health Organization Framework Convention on Tobacco Control (WHO FCTC). As you know, the U.S. is one of the few remaining countries that have not ratified this treaty, so our citizens are not yet protected by its life-saving measures.You will need to be vigilant, as there is one glaring inconsistency between this new law and the global tobacco treaty. Because Big Tobacco has a fundamental and irreconcilable conflict of interest with public health, the treaty safeguards health policy against tobacco industry interference.Unfortunately, this new legislation gives the tobacco industry a seat at the table in setting FDA policies. Including industry representatives on the Tobacco Products Scientific Advisory Committee is akin to letting the fox guard the henhouse. The tobacco corporations will seek to exploit this loophole, just as they are trying to get governments around the world to ignore their obligations under the FCTC.I urge you to resist and bring to light any attempts by the tobacco industry to undermine FDA regulation. Along with other members of Corporate Accountability International, I will be closely following the exercise of your new authority, and thank you in advance for your work to protect our kids from Big Tobacco's dirty tricks and predatory marketing."
2280,FDA-2013-N-0521-0098,"Thank you kindly for your attention to the 2 attached publications, which explore associations between menthol use and smoking cessation, and highlight moderation by race/ethnicity. These documents represent information that might be helpful in evaluating the impact of menthol use on cessation. Thank you kindly for your consideration. See attached file(s)"
2281,FDA-2012-D-0071-0445,"Please do not recommend or allow animal testing in the tobacco industry.  The harmful effects of tobacco are well known and testing on animals is unnecessary and extremely cruel.  There are millions of Americans who smoke or use tobacco, and collecting data regarding their smoking habits and/or tobacco usage, and the health consequences therefrom, should provide all the information that is necessary."
2282,FDA-2015-N-1514-0464,Attached are the comments of the Tobacco Vapor Electronic Cigarette Association on the proposed ANPRM.
2283,FDA-2012-D-0071-1624,Please do NOT allow any animal testing in your draft on tobacco product testing.  There is absolutely no reason that rats have to be tortured with tobacco smoke.  Any tests that involve the torturing of animals need to be banned. Thank you.
2284,FDA-2013-N-0521-0438,See attached file(s)
2285,FDA-2012-D-0071-1295,"Please stop the inhumane testing of tobacco products on rats.  There are other ways to conduct these experiments while not subjecting a living, feeling animal to such cruel conditions.  Other countries have accomplished this and it's time for the U.S. to follow in their footsteps.  Thank you for your attention to this matter."
2286,TTB-2010-0004-0040,"To bad that the Gov. Can't stay out of the Tobacco Co. What's the mater, Not enough $$$ going in there Pockets!!Thank You !!"
2287,FDA-2015-N-1514-0461,Please see the attached comments submitted on behalf of the Smoke-Free Alternatives Trade Association (SFATA).
2288,FDA-2012-N-0143-0058,Please find comments from the American Chemistry Councils Propylene Oxide / Propylene Glycol Panel attached.
2289,TTB-2010-0004-0002,
2290,FDA-2012-N-0143-0029,"Hello,My name is Cathleen, I live in Montana, and I am a recent cancer patient/survivor of breast cancer. I believe, due to intensive and extensive research on the EPA, NCI/NIH, National Toxicology Program, CDC, ACS, US Surgeon General websites, that the 5 tumors I developed, including 3 cancerous ones in my left breast, were caused by long-term exposure to 2nd hand cigarette smoke where I live. All the toxic, carcinogenic chemicals in the smoke, including arsenic, hydrogen cyanide, lead, ammonia, carbon monoxide, formaldehyde, benzene, beryllium, and polonium 210 are poisonous and deadly! I am lucky my cancer was caught at stage 1 & 3. Others are not so lucky, including 2 other non-smoking women on the 3rd floor of the apartment building where I live. One has adv.stge breast cancer, the other blood cancer. Pets and children suffer too!"
2291,FDA-2012-D-0071-1213,Stop the agony and irresponsible action of tobacco testing on animals!!!  People get to choose if they wish to smoke....it's their stupidity if they choose to and they reap the risks and assocated illnesses. Animals should NOT be torutred to do additional testing....WE ALREADY KNOW TOBACCO CAN KILL!!!  You're wasting government's money with this testing and you're torturing needlessly!!!
2292,FDA-2012-D-0071-0232,We already know tobacco is bad. I can't see why harming animals will do any good. 
2293,FDA-2013-N-0521-0296,leave the menthol alone plz.
2294,FDA-2012-D-0071-0572,"I am urging you to remove any language recommending or allowing animal tests from the U.S. FDA center for tobacco products draft guidance on tobacco product testing. No more animals should suffer and die for these archaic, inaccurate, and cruel tests on products that we already know are deadly when used as directed. This needs to stop! Animals are not ours to torture and destroy, especially for something we already know is bad. It is absolutely unnecessary!Please help these animals. Do the right thing,Thank you,Tiffany Wayman"
2295,FDA-2015-N-1514-0271,"Warnings and Restrictions on the use of these substances should be as strong as possible if not an outright ban. Our society did not need another source of addiction , particularly a pesticide like nicotine with risks of progression to cigarette use.The World Health Organization estimates Tobacco products will be responsible for one billion deaths worldwide by the end  of the century.This number exceeds deaths due to the Great Flu Pandemic, both World Wars and the Black Death ( Plague ) combined. Where does that place the executives selling these products in the scheme of human history?"
2296,FDA-2013-N-0521-0394,"The Cancer Prevention and Treatment Fund urges the FDA to act immediately to remove menthol cigarettes from the marketplace.Mitchell Zeller, J.D.Director, Center for Tobacco ProductsFood and Drug Administration9200 Corporate BoulevardRockville, MD 20850November 18, 2013RE: Docket No. FDA-2013-N-0521—Advanced Notice of Proposed Rulemaking, Menthol in Cigarettes, Tobacco Products; Request for Comments. We write today to urge the FDA to remove menthol cigarettes from the market as quickly as possible.Tobacco use is responsible for more than 400,000 deaths each year in the United States and is the leading preventable cause of death. A quarter of all cigarettes sold are menthol cigarettes, which studies show are preferred by younger smokers and new smokers. Since almost 9 out of 10 (88%) adult smokers began smoking before age 18, it will save lives to make smoking as unappealing as possible for teenagers and young adults. Menthol’s “cooling effect” does the opposite: it makes smoking as palatable (perhaps more palatable) to young people and nonsmokers as candy flavoring, which was banned in 2009 under the Family Smoking Prevention and Tobacco Control Act. According to the FDA’s Preliminary Scientific Evaluation of the Possible Public Health Effects of Menthol Versus Nonmenthol Cigarettes, “the weight of the evidence supports the conclusion that menthol in cigarettes is likely associated with increased initiation and progression to regular of cigarette smoking.” Not only are menthol cigarettes a starter product for youth, they are harder to quit because they are likely associated with: 1) “increased dependence,” and 2) “reduced success in smoking cessation, especially among African American menthol smokers.”  For these reasons, we strongly agree with the FDA conclusions that “menthol cigarettes pose a public health risk above that seen with nonmenthol cigarettes.” The Tobacco Products Scientific Advisory Committee (TPSAC), before which we testified, concluded over two years ago that “removal of menthol cigarettes from the marketplace would benefit public health in the United States.” A conservative modeling scenario published in a peer-reviewed medical journal estimated that over 320,000 deaths—most of them among African Americans—could be averted by 2050 had menthol been banned in 2011 as recommended.(1)   The FDA must not drag its feet any longer. The decision to extend the comment period an additional two months itself cost thousands of lives. The Cancer Prevention and Treatment Fund represents the millions of American families whose lives have been touched by cancer, and our mission is to gather and scrutinize research to determine how programs and policies can reduce the incidence of cancer and improve treatment options for cancer patients.  Our scientific analysis indicates that hundreds of thousands of lives will be saved when the FDA removes menthol cigarettes from the market, and we strongly urge the FDA to protect the public health by implementing a final rule to do so.Sincerely,Cancer Prevention and Treatment Fund(1) Levy, et. al., Modeling the future effects of a menthol ban on reduced smoking prevalence and deaths averted in the United States. American Journal of Public Health. 2011; 101(7):1236-1240."
2297,FDA-2015-N-1514-0355,See attached file(s)
2298,FDA-2012-D-0071-0747,Please remove any language recommending or allowing animal tests from your draft guidance on tobacco product testing.
2299,FDA-2012-D-0071-1767,I urge you to remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing.  These tests are cruel and outdated.  There are non-animal testing procedures that are more effective.
2300,FDA-2012-D-0071-0944,"To the FDA;i am urging you to remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing.This is cruel, unnecessary and these animals are different to humans therefore test results are not correct and you are breeding lives to be totured for no reason. I beg you to please end this."
2301,FDA-2012-D-0071-0583,"Enough killing rats for tobacco tests!  It's barbaric, unconscionable, and passe.  It's past time to stop these horrendous kinds of testing on innocent creatures."
2302,FDA-2013-N-0521-0437,See attached file(s)
2303,FDA-2011-N-0467-0101,The availiabilty of electronic cigarettes on the internet will be detrimental to the public at large. Especially under age children. The internet can not be properly regulated. These items should be sold only face to face.
2304,FDA-2009-N-0294-0364,"Why is everything becoming illegal in this bloody country!!!!!I'm a young adult and apparently I can go to war, I can get shot at....I'm even given a weapon to kill people.....but I don't get the right to smoke a flavored cigarette!!!! If a underage kid gets a cigarette, and smokes it, I think it is the fault of the bloody little brats parents for not watching their little sue or their little johnny!!!! Anti-smoking groups frankly make me sick....it's our life and if we want to get black disgusting lungs then fucking let us!!!!"
2305,FDA-2012-D-0071-0796,stopanimaltests.com
2306,TTB-2010-0004-0115,Leave the current method in place  stop attacking the people who enjoy their pipe tobacco
2307,FDA-2012-D-0071-0810,"FDA I am urging it to remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing.Belgium, Germany, the U.K., and other countries have banned the testing of tobacco products on animals, and all the tobacco safety tests required by the Canadian government are modern, non-animal methods.These deadly tests are included in the guidance even though they are irrelevant to human smokers and there are more modern and accurate non-animal methods available, such as computer simulation, tests using human cells, and clinical studies with human smokers.I don't know why we are so far behind the times  let's get our act together and stop these useless tests once and for all, they are useless and cruel and I hope you will do the right thing.Thank you for your time,"
2308,FDA-2013-N-0521-0093,See attached file(s)
2309,FDA-2012-D-0071-0945,Please stop testing on animals. There are humane ways to test. 
2310,FDA-2012-D-0071-1722,"As one American who has lost a mother, father, two aunts, an uncle and several dear friends to lung cancer, all caused by TOBACCO, it is absolutely outrageous to learn of these ridiculous useless tests to be conducted by our government, the FDA.   What is there left to prove?    WHAT??  Tobacco KILLS people; has been doing so for centuries and yet the FDA believes more testing that would kill innocent animals is going to prove otherwise?This industry and all who are connected to it should pay huge penalties and spend some time in prison AND be forced to smoke cigarettes.STOP THIS INSANITY NOW....once again, animals are at the bottom rung of the ladder when it comes to compassion."
2311,FDA-2015-N-1514-0050,I smoked cigarette for 19yr I am now 30 and could barely breathe walking up stairs with the help of vaping I have now quite smoking cigarette for 2 months now I can see a significant difference in my breathing so as far as I'm concerned vaping is going to save my life and now my kids don't have to grow up watching me smoke them disgusting thing
2312,FDA-2011-N-0467-0053,"Most underage Tobacco sales involve a minor asking someone of-age to buy them tobacco products at a retail store. What this initiative does is make responsible adults access to other forms of nicotine(i.e snus, e cigs...etc) much harder to get as people who use e-cigs rely heavily on online distribution. This will indefinitely lead to a rise in foot traffic towards face-to-face transactions where minors can easily get there tobacco by simply asking someone to buy it for them, ultimately leading to a rise in underage tobacco consumption. The pact act already takes care of most potential problems of online distribution by asking for a signature of confirmation upon delivery of products. And a final note...e-cigs are NOT attractive to minors compared to cigarettes and cigarillos. high prices on starter kits and frequent updating of supplies makes it easier for someone underage to simple go to the store and ask someone to buy them a pack of cigarettes or a small cigar. "
2313,FDA-2012-D-0071-0882,"I can save everyone a lot of time and money here, and hopefully some rats lives, too---newsflash!-- inhaling tobacco smoke is harmful! Thank you. "
2314,FDA-2012-D-0071-1586,"Please do not engage in these useless tests on animals. It is horrific to subject animals to this torture. The tests are irrelevant to human smokers and there are more modern and accurate non-animal methods available, such as computer simulation, tests using human cells, and clinical studies with human smokers."
2315,TTB-2010-0004-0022,"See attached comment letter submitted on behalf of John Middleton Co. by Robert Jones, counsel, Arnold & Porter, LLP. "
2316,FDA-2012-D-0071-1612,Please stop the horrific and barbaric tobacco testing on animals! 
2317,FDA-2012-D-0071-0844,"It's another terrible experience to see a relative die of lung cancer.In todays world of technology, simulators, advanced intervention, special affects, and high definition....animals shouldn't be victims of horrible experiments while they're helpless. Please use modern techniques. Modified Risk Tobacco Product Applications"
2318,TTB-2010-0004-0142,"i am using tabacco road because cigarette have been taxed so much that this is an alternative.  i knew the 1st time i went that the feds would do everything in thie power to either shut them down or tax them out of business. on one hand the gov wants us to stop smoking and on the other hand they want the money.  the federal gov needs to stay out of our llife and any legislature that votes for this bill i will do everything i can to vote them out of office.  the gov is so predictable that i knew this would happen.  they aren't fooling anyone by raising the price of pipe tabacco, i don't need a nanny, i know smoking isn't good for me but it's my businees and it isn't fair to only tax smokers i don't think it is constitutional to tax one group over anotherwanda helm"
2319,FDA-2015-N-1514-0337,"From January 1, 2015 to August 31, 2015, there has been 2,209 reports of exposure to liquid nicotine and e-cigarette devices. http://www.aapcc.org/alerts/e-cigarettes/. Since there is no mandate for child resistant packaging for liquid nicotine, the only thing protecting children from being exposed to the liquid nicotine is if their parents keep the nicotine out of reach of children. The American Association of Poison Control Center recommends the only way to prevent the exposure to the dangers of liquid nicotine is by: (1) protect your skin when handling the products; (2) always keep e-cigarettes and liquid nicotine locked up and out of the reach of children; and (3) follow the specific disposal instructions. Therefore, there needs to be a mandate for child-resistant packaging.  "
2320,FDA-2012-D-0071-1359,"I am a physician deeply concerned about the public health consequences of this guidance.Human population studies, clinical intervention trials, and human-based cellular studies should remain the foundation of tobacco research. Animal studies were initially used to deny the smoking-lung cancer link. But decades of human epidemiology studies prove this link and other devastating effects tobacco has on human health.The Institute of Medicine says that it is not possible to make laboratory animals use tobacco products the way humans do, and there are inherent interspecies differences that prevent meaningful extrapolation of effects to humans. The self-addiction studies that FDA recommends be performed in animals, such as “place preference,” “drug discrimination,” and “self-administration” studies, are not only cruel, but tenuously linked to human behavior. "
2321,FDA-2012-D-0071-1676,"The testing of tobacco products on animals needs to sip. It is unnecessary, cruel, and useless. Please put an end to this! "
2322,FDA-2012-D-0071-0399,"To whom it may concern:I would like to urge FDA to remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing.No more animals should suffer and die for these archaic, inaccurate, and cruel tests on products that we already know are deadly when used as directed!Thank you.Margaret Mo"
2323,FDA-2009-N-0294-0067,"I wonder if the savings from health costs related to tobacco use, which according to the Centers for Disease Control, were estimated to be responsible for $193 billion in annual health-related economic losses in the United States during 2000–2004 ($96 billion in direct medical costs and approximately $97 billion in lost productivity), would keep our taxes down and maybe actually save us money in the long run. "
2324,FDA-2009-N-0294-0012,I highly recommend any type of warnings or restriction re: the danger of tobacco products. I witnessed my father die a horrible death from lung cancer last year and something HAS to be done. I used to smoke as well but have not done so for over 5 years and the status of my health has improved immensely. I have not had bronchitis or any smoking related illness since I quit and I feel better than I ever have. Quitting smoking was the HARDEST thing I ever did but it's been the best.
2325,FDA-2012-D-0071-1228,Stop the cruel experiments on animals
2326,FDA-2012-D-0071-1263,"Its awful to see the pictures of the mice in the tiny tubes... Thats just not right and its so obvious its ridicoulos that its even existing. Anybody should be able to see that this is wrong and unnecessary. Pardon my spelling, but you get the important message I hope. I hope you stop this soon. or Now. Regards Sofie from Sweden"
2327,FDA-2013-N-0521-0313,"Comment from the Honorable Bill Sandifer, House of Representatives, State of South Carolina"
2328,FDA-2012-D-0071-1082,"Please stop this cruel and useless torture of innocent animals.  As a former smoker, I know how bad tobacco smoke is because I had chronic bronchitis, and I watched someone close to me die a slow, painful death from lung cancer.  But what he and I both knew, as well as all other tobacco users, was how unhealthy it was.  It is a bad, addictive habit with serious concequences, but it is a choice.  People choose tobacco.  These poor animals are not choosing tobacco. We all know how addictive it is, so please, please do the humane thing and don't allow these animals to be forced to breathe in smoke for this pointless study."
2329,FDA-2012-D-0071-1493,"I am a physician deeply concerned about the public health consequences of this guidance.Human population studies, clinical intervention trials, and human-based cellular studies should remain the foundation of tobacco research. Animal studies were initially used to deny the smoking-lung cancer link. But decades of human epidemiology studies prove this link and other devastating effects tobacco has on human health.The Institute of Medicine says that it is not possible to make laboratory animals use tobacco products the way humans do, and there are inherent interspecies differences that prevent meaningful extrapolation of effects to humans. The self-addiction studies that FDA recommends be performed in animals, such as “place preference,” “drug discrimination,” and “self-administration” studies, are not only cruel, but tenuously linked to human behavior. Tobacco is inherently hazardous and poses serious risks to the user’s health and to the health of others. Testing more cigarettes, additives, and other tobacco products on animals will not protect public health."
2330,FDA-2012-D-0071-1360,Please reconsider the draft of tobacco products. PLEASE. It is so cruel and unnecessary. Have a heart for crying out loud. 
2331,FDA-2012-D-0071-1080,I urge you to remove any language recommending or allowing animal tests from your draft guidance on tobacco product testing.
2332,FDA-2012-D-0071-0353,"Please don't use mice or rats as instruments to learn the effects of tobacco smoke.  They do not deserve to be stuck in a canister, motionless, for weeks.  Please have some compassion."
2333,FDA-2013-N-0521-0061,"Docket No. FDA-2013-N-0521August 30, 2013Dear Sir/Madame:The Alabama Retail Association, and its 4,000 members from all across our state, is always very concerned when any governmental agency or organization seeks to eliminate a section of the marketplace that directly impacts consumer choice.Such is the case, in our opinion, with the discussions underway at FDA that could ultimately lead to the elimination of menthol cigarettes. The black marketing and contraband activity in tobacco is well documented, and counterfeit cigarettes are smuggled into the country today. Reports we’ve seen indicate that it is fertile ground for organized crime, and that is just something we do not need.Our retailers are used to good, healthy competition. We see it in their advertising and marketing every day as they vie for customers. But a ban on menthol cigarettes would hit retailers hard, and consequently hurt wholesalers and their employees, as well.Further, we have looked at the fiscal impact the elimination of these kinds of cigarettes and tobacco products would have on our state budgets. Generally, retail works on thin margins but if a product is taken out of the marketplace those margins and the attendant tax revenue will be further reduced. Just as retail is rebounding from the recent tough economic times we experienced, neither our members nor our state budget can afford another serious hit.We would, therefore, urge you to move very methodically through this process. We understand very clearly your mandate at the FDA as directed by Congress but we believe it important to take into consideration the impacts your decisions could have in America’s marketplace.Best regards,Rick Brown President"
2334,FDA-2012-D-0071-1639,Please remove any language recommending or allowing animal tests from the draft guidance on tobacco product testing.
2335,FDA-2009-N-0294-0462,"See the attached comment submitted by the Alcohol and Tobacco Tax and Trade Bureau, U.S. Department of the Treasury.  The comment is signed by John J. Manfreda, Administrator, Alcohol and Tobacco Tax and Trade Bureau."
2336,FDA-2012-D-0071-0024,Do not force rats and other animals to inhale tobacco smoke. I think you should use a robot or something along those lines.
2337,FDA-2012-D-0071-1380,"Tobacco is inherently hazardous and poses serious risks to the user’s health and to the health of others. Testing more cigarettes, additives, and other tobacco products on animals will not protect public health.  It is also unneceearily cruel to animals."
2338,FDA-2009-D-0524-0004,"Dockets Management Branch (HFA-305)Food and Drug Administration5630 Fishers Lane, Room 1061Rockville, MD 20852RE: Docket Number FDA-2009-D-0524Please see find our comments attached"
2339,FDA-2011-N-0467-0045,See attached file(s)
2340,FDA-2012-D-0071-1162,This country is shameful and FAR behind! Stop this cruel act on innocent animals. BAN it as other countries have!!!!
2341,FDA-2009-N-0294-0391,"Dear Commissioner Hamburg, As a public health professional and health educator, I'm writing to express my belief that FDA regulation of tobacco is a great step forward in protecting our kids, and future generations, from Big Tobacco. I look forward to your agency tackling this long awaited and hard fought new responsibility with vigor.I couldn't have written the message below any better and so will leave it as is.I am also writing to urge you to enforce the Family Smoking Prevention and Tobacco Control Act in a way that lays the groundwork for full, constructive U.S. participation in the World Health Organization Framework Convention on Tobacco Control (WHO FCTC). As you know, the U.S. is one of the few remaining countries that have not ratified this treaty, so our citizens are not yet protected by its life-saving measures.You will need to be vigilant, as there is one glaring inconsistency between this new law and the global tobacco treaty. Because Big Tobacco has a fundamental and irreconcilable conflict of interest with public health, the treaty safeguards health policy against tobacco industry interference.Unfortunately, this new legislation gives the tobacco industry a seat at the table in setting FDA policies. Including industry representatives on the Tobacco Products Scientific Advisory Committee is akin to letting the fox guard the henhouse. The tobacco corporations will seek to exploit this loophole, just as they are trying to get governments around the world to ignore their obligations under the FCTC.I urge you to resist and bring to light any attempts by the tobacco industry to undermine FDA regulation. Along with other members of Corporate Accountability International, I will be closely following the exercise of your new authority, and thank you in advance for your work to protect our kids from Big Tobacco's dirty tricks and predatory marketing.Sincerely, Janet A. Holden, PhD, retired, University of Illinois School of Public Health"
2342,FDA-2012-D-0071-1292,"Please stop testing tobacco on rats, not only is it not humane but also not accurate.  People have the choice to kill them selves through smoking but these poor animals are not given the choice."
2343,FDA-2013-N-0521-0264,"Dear FDA Representative,Re: Docket No. FDA-2013-N-0521I represent a leading wholesale distributor in California, Pitco Foods.  We supply most business needs from grocery to Cigarettes and Tobacco.  We have four locations throughout the Northern California area.  We employ approximately 350 people.There is no need to issue any additional regulations that would ban or restrict in any way the use of menthol in cigarettes.  The current federal regulations that apply to all cigarettes, including menthol cigarettes, are sufficient.  Overly  restrictive regulations or any ban on the sale of menthol cigarettes will have a negative impact on retailers and wholesalers.  The black market will become widespread with illegal activity.  This will greatly affect many good paying legal jobs."
2344,FDA-2017-N-4678-0013,"Reynolds own data do not support their claim that because exclusive users of Camel Snus experience lower levels of exposure to some toxicants, they will reduce their risk of harm from lung cancer, oral cancer, respiratory disease, and heart disease.  See attached."
2345,FDA-2012-D-0071-0519,This cruel for any animal to endure. As an American citizen I am appalled that this type of cruelty to animals would happen let alone be required. Doing this to ANY animal is unacceptable!!!
2346,FDA-2009-N-0294-0277,"Dear Commissioner Hamburg,I'm writing to express my belief that FDA regulation of tobacco is a great step forward in protecting our kids, and future generations, from Big Tobacco. I look forward to your agency tackling this new responsibility with vigor.I am also writing to urge you to enforce the Family Smoking Prevention and Tobacco Control Act in a way that lays the groundwork for full, constructive U.S. participation in the World Health Organization Framework Convention on Tobacco Control (WHO FCTC). As you know, the U.S. is one of the few remaining countries that have not ratified this treaty, so our citizens are not yet protected by its life-saving measures.You will need to be vigilant, as there is one glaring inconsistency between this new law and the global tobacco treaty. Because Big Tobacco has a fundamental and irreconcilable conflict of interest with public health, the treaty safeguards health policy against tobacco industry interference.Unfortunately, this new legislation gives the tobacco industry a seat at the table in setting FDA policies. Including industry representatives on the Tobacco Products Scientific Advisory Committee is akin to letting the fox guard the henhouse. The tobacco corporations will seek to exploit this loophole, just as they are trying to get governments around the world to ignore their obligations under the FCTC.I urge you to resist and bring to light any attempts by the tobacco industry to undermine FDA regulation. Along with other members of Corporate Accountability International, I will be closely following the exercise of your new authority, and thank you in advance for your work to protect our kids from Big Tobacco's dirty tricks and predatory marketing.Sincerely,Bradley Eardley"
2347,FDA-2013-N-0521-0216,"The Honorable Fran Millar, George State Senate - Comment"
2348,TTB-2013-0006-0011,See attached file(s)
2349,FDA-2013-N-0521-0463,See attached file(s)
2350,FDA-2012-D-0071-0019,i just read that tobacco smoke is being tested on rats (again).  this is an obscene waste of taxpayers money and it's cruel.  how many years has this been going on? Someone is making money from this...
2351,TTB-2010-0004-0060,"Why more taxes? Everday we are expected to pay more when we make less. I use the pipe tobacco becuase I can't afford to pay for thre brand cigarettes. It feels everyday I am robbed of more of my freedoms. This is America, land of the free home of the brave, right? Please don't reclassify pipe tobacco becuase you see an opportunity to make money off of it, you're already getting enough of my paycheck. Leave pipe tobacco ALONE!!!"
2352,FDA-2012-D-0071-0818,Please stop this !!!!!!!!!!! is unfair i hate people who does this kind of thing who the hell do they think they are? to do that to innocent animals? they must pay for what they do.....NOW!
2353,FDA-2012-D-0071-0021,"There is absolutely no reason why these tests need to be conducted. Please stop this inhumane treatment of innocent animals and utilize alternative technologies which are  economical, readily available, and respectful of health, life and science instead. There are way more ethical ways to market your products to the general public than by testing these rats in this horrible manner. When designing animal tests, please be aware that animals need to be treated with dignity and respect and in no case should be subjected to pain and suffering, especially for prolonged amounts of time. There are other ways to produce viable testing and you know it. "
2354,FDA-2012-D-0071-0576,We all know smoking kills.  Please stop harming innocient animals to prove this point.  Please stop allowing animal testing from the draft guidance on tobacco product testing. thank you
2355,FDA-2013-N-0521-0134,"The Honorable Robert L. Johnson, III, House of Representatives, State of Mississippi - Comment"
2356,FDA-2013-N-0521-0152,"Hugh E Weathers, Commissioner of Agriculture for the State of South Carolina - Comment"
2357,FDA-2013-N-0521-0350,"On March 13, 2012, Brazil banned all flavors and additives in tobacco products throughout the country because they lure many young people into starting to smoke. The new law, which has not yet taken effect due to ongoing litigation, requires the banning of all flavors, such as menthol, honey, cherry, and chocolate, plus additives like ammonia, sweeteners, colors, vitamins and essential fatty acids.Attached please find information related to Brazil's menthol ban. The original version in Portuguese is attached as well as an English translation, as required by 21 C.F.R. 10.20(c)(2)."
2358,FDA-2012-D-0071-0991,Please refrain from allowing tests on rats by making them breathe tobacco smoke. We have advanced tremendously in technology. Archaic methods of animal testing and cruelty have no place in our laboratories and society today. Thank you.
2359,FDA-2015-N-1514-0374,"Thank you for the opportunity to provide comments in strong support of nicotine exposure warnings and child-resistant packaging for liquid nicotine, nicotine-containing e-liquids, and other tobacco products.The Coalition for a Tobacco-Free Hawaii (Coalition) is a program of the Hawaii Public Health Institute working to reduce tobacco use through education, policy, and advocacy.  Our program consists of over 100 member organizations and 2,000 advocates that work to create a healthy Hawaii through comprehensive tobacco prevention and control efforts. The Coalition strongly urges the FDA to create nicotine exposure warnings on tobacco products, including but not limited to liquid nicotine, and also require child-resistant packaging for liquid nicotine, liquids containing nicotine, and other tobacco products.  We believe this is necessary in order to protect children from accidental nicotine exposure and educate the public about the dangers of nicotine.  The Coalition commends the FDA for its leadership in protecting children from this toxic and deadly substance.Please find our specific responses to the questions found in the advanced notice of proposed rulemaking (ANPRM) attached.See attached file(s)"
2360,FDA-2012-N-0143-0052,See attached comments from Oliva Cigar Co.
2361,TTB-2009-0002-0007,"Increase the tax on all tobacco products and use at least part of the tax to help pay for subsidies for the poor for buying the newly required health insurance.  Tobacco users should have to pay at least part of the expected cost of their nasty habit.  Since they will have to buy health insurance, unless they are too rich to qualify for the health insurance subsidy they will be getting at least some return from their tobacco tax in the form of the low income subsidy for health insurance."
2362,FDA-2012-D-0071-0346,PLEASE STOP USING ANIMALS FOR TOBACCO EXPERIMENTS. 
